block_datetime,slot,block_number,block_hash,value,base_fee_per_gas,gas_limit,gas_used,num_tx,builder_label,builder_pubkey,relay,bid_timestamp_ms,slot_time_ms,proposer_pubkey,proposer_mev_recipient,optimistic_submission,builder_fee_recipient,block_timestamp,extra_data,payload_delivered
2024-01-30 15:47:23,8317135,19120314,0x8230104fcb8c9baf5677013aa68644d60629e5f78d5af87c40e275ecc9892089,,73032604807.0,30000000.0,17147043.0,0.0,2ed8468b,0x0077732907bfc6208933cfd2a51afb8f33ca5958,,,,0x0077732907bfc6208933cfd2a51afb8f33ca5958,0x0077732907bfc6208933cfd2a51afb8f33ca5958,False,0x0077732907bfc6208933cfd2a51afb8f33ca5958,1706629643.0,0x3265643834363862,0.0
2024-01-30 14:06:35,8316631,19119815,0x8b20bcce53283e94747c3a8b23aa72861d6e2f20646dd48352e55045334ebb20,,30403313462.0,30000000.0,1112538.0,0.0,reth/v0.1.0-alpha.16/linux,0xa09f34312545f1ac7bf7680527f79c20dc146e59,out-of-scope,,,0xa09f34312545f1ac7bf7680527f79c20dc146e59,0xa09f34312545f1ac7bf7680527f79c20dc146e59,False,0xa09f34312545f1ac7bf7680527f79c20dc146e59,1706623595.0,0x9a726574682f76302e312e302d616c7068612e31362f6c696e7578,1.0
2024-01-30 11:42:23,8315910,19119096,0x6c99789950616bb3ee4020a4241939df1562c9df2e1c92756aae11f3806e7c0c,,35659292306.0,30000000.0,11840821.0,0.0,geth,0x8d73170d2753ebc3ed5a879c0c17cc5f37631ede,,,,0x8d73170d2753ebc3ed5a879c0c17cc5f37631ede,0x8d73170d2753ebc3ed5a879c0c17cc5f37631ede,False,0x8d73170d2753ebc3ed5a879c0c17cc5f37631ede,1706614943.0,0xd883010d04846765746888676f312e32312e33856c696e7578,0.0
2024-01-30 11:07:35,8315736,19118923,0xb4768115d5c6bf4bf2eb0c23ab1fc8a88fa1e4bc1d5b1e65fe6212f8c85c047a,,27052742085.0,30000000.0,26663701.0,0.0,,0xf1703a883c6061c35801a39b7de1ca4153286c12,,,,0xf1703a883c6061c35801a39b7de1ca4153286c12,0xf1703a883c6061c35801a39b7de1ca4153286c12,False,0xf1703a883c6061c35801a39b7de1ca4153286c12,1706612855.0,0x,0.0
2024-01-30 11:05:23,8315725,19118912,0x1587a53c1a7d4079a1a90135a9c5b9045aabe43f627785eb732aeadcfd1ffaa8,,26163948967.0,30000000.0,10516541.0,0.0,geth,0x435a03ef873e11232bb62b7e9568296fb1355d95,,,,0x435a03ef873e11232bb62b7e9568296fb1355d95,0x435a03ef873e11232bb62b7e9568296fb1355d95,False,0x435a03ef873e11232bb62b7e9568296fb1355d95,1706612723.0,0xd883010d02846765746888676f312e32312e31856c696e7578,0.0
2024-01-30 10:59:35,8315696,19118884,0x194db9ba46cabf8b86b3037a2fa196dfb6da3659db614ade2d1eed09bb276894,,24003663249.0,30000000.0,12347877.0,0.0,Nethermind,0xb2f33bea118f939898ef9a94022e31264badbe3e,,,,0xb2f33bea118f939898ef9a94022e31264badbe3e,0xb2f33bea118f939898ef9a94022e31264badbe3e,False,0xb2f33bea118f939898ef9a94022e31264badbe3e,1706612375.0,0x4e65746865726d696e64,0.0
2024-01-30 10:51:23,8315655,19118843,0x5ceb235aa3b4a96433514df72427d81b950c8798369f0fa8cbee37b5f61b19ed,,24821383986.0,30000000.0,8894258.0,0.0,Nethermind,0x26269a78ce602ee7be227db699749dc037506f01,,,,0x26269a78ce602ee7be227db699749dc037506f01,0x26269a78ce602ee7be227db699749dc037506f01,False,0x26269a78ce602ee7be227db699749dc037506f01,1706611883.0,0x4e65746865726d696e64,0.0
2024-01-30 10:46:59,8315633,19118822,0xf775b9b2fd1e8e2ef0385ea422f3a64a9f73672c8d575bea8064ef3f369fbfae,,27618992457.0,30000000.0,7563238.0,0.0,geth,0x7ea7578d242748b8b3c373bf91b16187f982ed96,,,,0x7ea7578d242748b8b3c373bf91b16187f982ed96,0x7ea7578d242748b8b3c373bf91b16187f982ed96,False,0x7ea7578d242748b8b3c373bf91b16187f982ed96,1706611619.0,0xd883010d08846765746888676f312e32312e35856c696e7578,0.0
2024-01-30 10:45:59,8315628,19118817,0xa71db1eec4ad480c8526f95c4725ce37187b011a263daa223d550bf94340297b,,29007221104.0,30000000.0,11094317.0,0.0,geth,0x5dffd5527551888c2ac47f799c4dc8e830decee7,,,,0x5dffd5527551888c2ac47f799c4dc8e830decee7,0x5dffd5527551888c2ac47f799c4dc8e830decee7,False,0x5dffd5527551888c2ac47f799c4dc8e830decee7,1706611559.0,0xd983010d0a846765746888676f312e32312e368664617277696e,0.0
2024-01-30 10:40:11,8315599,19118788,0x1e86fa330a48997e40542dca9aa7d446e80c518b02364159b3dd455b0109b789,,29933887911.0,30000000.0,16150151.0,0.0,geth,0x62a5fb989c40f2426019e73cb154d0e280de37ab,,,,0x62a5fb989c40f2426019e73cb154d0e280de37ab,0x62a5fb989c40f2426019e73cb154d0e280de37ab,False,0x62a5fb989c40f2426019e73cb154d0e280de37ab,1706611211.0,0xd883010d04846765746888676f312e32302e37856c696e7578,0.0
